STT,SO XE,XE,NGAY,L,l,Q,To,Tr,N,C,Vm,d,dd,dH,Dh,M,E1,E2,E3,E4,E5,E6,LV,LV1,dc,MG
1,CE6_3,CE6.2U2_88,16/05/2020,06T,CE6,97.12,270,65,21,1356014.484,28.42536585,Tuyen Cua Nam,CN,0.386,386,7.05,1.84073107,192342.48,0.1,0.240740741,0.07259061,0.003974465,C,3,3.83,E2>260000
2,CE10_2,CE10U2_30,16/05/2020,11T,CE10,82.38,206,55,6,2582535.691,32.73377483,Tuyen Le Van Linh,LVL,0.1,100,10.27,1.316666667,251464.04,0.01,0.266990291,0.124666181,0.001213887,D,5,7.8,E2<240000
3,CE6_3,CE6.2U2_88,16/05/2020,06T,CE6,93.92,362,149,23,1517582.167,26.45633803,Tuyen Cua Nam,CN,0.468,468,7.89,2.060052219,192342.48,0.12,0.41160221,0.084007666,0.004982964,T,4,3.83,E2>260000
4,CE10_2,CE10U2_30,16/05/2020,11T,CE10,97.35,309,170,14,2527677.598,42.02158273,Tuyen Le Van Linh,LVL,0,0,11.23,1.43974359,225082.6,0,0.550161812,0.115356959,0,T,4,7.8,240000<E2<260000
5,CE6_5,CE6.2U2_44,16/05/2020,06T,CE6,91.68,366,112,28,1419487.502,21.65669291,Tuyen Hang Dao,HD,1.534,1534,7.38,0.934177215,192342.48,0.19,0.306010929,0.080497382,0.016732112,T,4,7.9,E2>260000
6,CE6_7,CE6.2U2_80,16/05/2020,06T,CE6,97.1,383,157,23,1346384.598,25.77876106,Tuyen Hang Bai,HB,6.087,6087,7.36,1.610503282,182932.69,1.33,0.409921671,0.075798146,0.062687951,T,4,4.57,240000<E2<260000
7,CE6_7,CE6.2U2_80,16/05/2020,06T,CE6,95.33,239,88,25,1357360.56,37.88,Tuyen Cua Nam,CN,1.023,1023,7.42,1.937336815,182932.69,0.27,0.368200837,0.0778,0.0107,D,5,3.83,E2<240000
8,CE6_7,CE6.2U2_84,16/05/2020,06T,CE6,90.64,257,83,5,1295716.033,31.25517241,Tuyen Le Van Linh,LVL,0,0,7.27,0.932051282,178227.79,0,0.322957198,0.080207414,0,Sa,1,7.8,240000<E2<260000
9,CE6_8,CE6.2U2_84,16/05/2020,06T,CE6,96.11,297,113,28,1246422.312,31.34,Tuyen Le Van Linh,LVL,5.228,5228,8.27,1.06025641,150716.12,0.67,0.439688716,0.086047238,0.054396005,C,3,7.8,E2<240000
10,CE6_9,CE6.2U2_18,16/05/2020,06T,CE6,99.51,368,162,22,1473343.397,28.98349515,Tuyen Bach Dang,BD,6.696,6696,7.66,2.092896175,192342.48,1.83,0.440217391,0.076977188,0.06728972,T,4,3.66,E2>260000
